Description,Link
paox33trying out new skincare products ✨💦face wash @kylieskin  foaming face wash toner #kylieskin @kyliejenner milk tonerserum @freshbeauty #freshbeauty rose deep hydration face serum eye cream @tartecosmetics #tartecosmetics maracuja c-brighter eye treatment moisturizer @bliss #bliss what a melon water jelly hydrator lip serum @freshbeauty sugar lip serum#paox33 #skincare #skin #skincarejunkie22w,https://www.instagram.com/p/B4f7bsil9hm/
"paox33my current go to look 🎥🔥eyeshadow primer : @marcbeauty eyeshadow palette : @urbandecaycosmetics #urbandecay #nakedheat mascara : @eyeko #eyeko lash alert mascara primer: @smashboxcosmetics #smashbox photo finish hydrating primer foundation : @lauramercier #flawlessfusion in ""suntan "" concealer : #tarte #shapetape in medium translucent powder #lauramercier bronzer : @benefitcosmetics #benefitcosmetics #hoolabronzer applied with @japonesque brushhighlight : @hourglasscosmetics #metallicstrobe #hourglasscosmetics lips: @hudabeauty #hudabeautyliquidmatte in trendsetter and jetsetter lashes : @shophudabeauty ""marilyn "" #hudabeauty #wakeupandmakeup #hypnaughtypower #makeuptutorials #vegas_nay #1minutemakeup #makeupvideo #makeupvideos #maquiagem #makeupclips #fashionarttut #allmodernmakeup #makeupgirlz #makegirlz #igmakeup #fakeupfix #peachyqueenblog134w",https://www.instagram.com/p/BZMWypVguqF/
paox33sending you guys lots of love and positive vibes🥰 lilac vibes ☺️💜 serum @pixibeauty hydrating milky serum #pixibeauty eye patches @ciatelondon #ciatelondon watermelon burst concealer @elfcosmetics #elfcosmetics hydrating camo concealer in shade medium warm eyeshadow @hudabeauty #hudabeautyobsessions in lilac pastel color corrector @toofaced foundation @loraccosmetics #loraccosmetics pro soft focus in shade 8&9bronzer @ciatelondon south beach blush @jouercosmetics darling blush duo #jouercosmetics highlighter @lancomeofficial #lancome lip liner @kkwbeauty #kkwbeauty in nude 1 topped off with @fentybeauty lipgloss in shade hot chocolit #paox333w,https://www.instagram.com/p/B9zsVMhFRcn/
"paox33my first #halloween makeup tutorial👻 who’s ready for halloween ?! i am ! partnered with @rubykissescosmetics to create this glam fortune teller look 👀 🔮 #rkbykissproducts used - go brow eyebrow sculpting eyebrow pencil- 3d contour artist - never touch up face primer - eye shadow magic primer - dear diary series -daily life eyeshadowpalette - liquid genius blackest black - satin chrome liquid eyeshadow - forever matte liquid lipstick in choco craze - hd set n forget setting powder - eye brushes ; large eye shadow , small eyeshadow,eyeliner brush - face brushes ; kabuki brush, angled brush, duo fiber brush , concealer brush . products availability online and in-stores at @walmart #paox33 #wakeupandmakeup #makeuptutorials #maquillaje #maquiagem #makeupvideos #halloweenmakeup77w",https://www.instagram.com/p/BpCn_JaAvLg/
paox33glossy ✨🍑 eyes @colourpopcosmetics #colourpop peach please palette lashes @houseoflashes iconic lite #houseoflashes lips @personacosmetics “honey gloss “#personacosmetics concealer @narsissist radiant creamy in custard highlighter @ctilburymakeup #charlottetilbury glow gasm palette brows @benefitcosmetics goof proof pencil in number 4 #benefitcosmetics #paox33 #motd #glowymakeup #maquillaje16w,https://www.instagram.com/p/B6RCu1_Fm8F/
"paox33started using @frankierosecosmetics products and they have me shook 😳😬.one of current fav foundations is the matte perfection foundation. i actually have never been a big fan of matte foundations because i feel like they make my face look a bit cakey but this foundation is sooo bomb and it's the first matte foundation that i actually like ! it is very build able and has great coverage. the finish on this foundation is flawless🙌. the pro contour palette is really nice and super easy to blend . lastly this liquid lipstick is one of my favorite shades at the moment ""macaroon"". i am really impressed with these 3 products and highly recommended them. if you guys want to try them i have a coupon code ""paox"" ❤ #frankierosecosmetics #frankierose ""138w",https://www.instagram.com/p/BX4KfjpApOJ/
"paox33that island glow 💕 🌴 the new @buxomcosmetics wanderlust primer infused blushes  are so silky and they glide on so easy on the skin giving such a beautiful glow! ✨ the blushes are so buildable and are currently my go to favorite blushes for multi purposing 🙌i’m using seychelles , ibiza and goa.topped off the look with the @buxomcosmetics plumping lip cream in “white russian “.available @sephora #buxombabe #buxompartner #buxomcosmetics #paox3358w",https://www.instagram.com/p/BuU7lWMHv89/
paox33we are back and glowing 🥰✨eyebrows @fentybeauty brow mvp pencil moisturizer @lancomeofficial eyeshadow palette @colourpopcosmetics anna pressed powder palette face palette @lauramercier la palette naturalleconcealer @elfcosmetics camo concealer lashes #colourpop in “queenie”color corrector #lancomeofficial teint idole ultra wear foundation @fentybeauty #fentybeauty shade 235sponge @beautyblender #beautyblender translucent powder @dermablendpro iluminating banana powder highlighter stick  #colourpop rose highlighter @lancomeofficial lipgloss @artistcouture “shameless”#paox3317w,https://www.instagram.com/p/B558iEllSYx/
paox33who else loves skincare videos?🙋‍♀️✨💦cleanser @freshbeauty #freshbeauty soy face cleanser facial essence @freshbeauty black tea kombucha facial treatment essence serum @lancomeofficial #lancome advanced génifique moisturizer @garnierusa #garniergirls water rose 24 hr moisture gel eye cream @skinfixinc #skinfixme lipid boost 360 eye face mist @bliss rose gold #bliss #skincare #skincarevideos #glowyskin25w,https://www.instagram.com/p/B3ph0nAlc2E/
paox33because you can’t go wrong with a wing ✔️ these tones got me all excited for fall 🤫 🍂 brows @benefitcosmetics #benefitbrows goof proof in “4”eyeshadow palette @ofracosmetics x @valelorenbeauty #ofracosmetics pen liner @tartecosmetics tarteist double take eyeliner #tartecosmetics foundation @ctilburymakeup airbrush flawless foundation in number 7 neutral #charlottetilbury concealer @jouercosmetics #jouercosmetics essential high coverage in biscotti powder @hudabeauty #easybake in banana bread #hudabeauty highlighter @bareminerals #bareminerals endless glow in “fierce” lips @luminesscosmetics x @sirjohnofficial trouble #paox3332w,https://www.instagram.com/p/B1xVvJGF2jB/
